session_tracking_id,user_id,event_id,screen_name,event_name,event_type,tracking_time,event_sequence,platform,app_version,device_model,network,user_segment,duration_ms
SES000001,U28637,1020.000,Movie Home,load màn hình Movie home,view,2026-05-06 17:03:38,1,iOS,3.8.1,iPhone 14,Wifi,VIP,"36,020"
SES000001,U28637,1020.001,Movie Home,click chọn phim,click,2026-05-06 17:04:05,2,iOS,3.8.1,iPhone 14,Wifi,VIP,"13,866"
SES000001,U28637,1020.002,Movie Home,click xem chi tiết phim,click,2026-05-06 17:04:24,3,iOS,3.8.1,iPhone 14,Wifi,VIP,"25,419"
SES000001,U28637,1021.007,Phim Detail,load màn hình phim detail,view,2026-05-06 17:04:31,4,iOS,3.8.1,iPhone 14,Wifi,VIP,"10,985"
SES000001,U28637,1021.006,Phim Detail,click đặt vé phim trên phim detail,click,2026-05-06 17:05:18,5,iOS,3.8.1,iPhone 14,Wifi,VIP,"6,483"
SES000001,U28637,1022.008,Chọn Suất Chiếu,Load màn hình chọn suất chiếu,view,2026-05-06 17:05:24,6,iOS,3.8.1,iPhone 14,Wifi,VIP,"8,394"
SES000002,U11014,1020.000,Movie Home,load màn hình Movie home,view,2026-05-27 18:39:56,1,iOS,4.0.0,iPhone 12,4G,Regular,"11,395"
SES000002,U11014,1020.004,Movie Home,Click xem tất cả phim,click,2026-05-27 18:39:59,2,iOS,4.0.0,iPhone 12,4G,Regular,"16,494"
SES000002,U11014,1020.002,Movie Home,click xem chi tiết phim,click,2026-05-27 18:40:50,3,iOS,4.0.0,iPhone 12,4G,Regular,"34,473"
SES000002,U11014,1021.007,Phim Detail,load màn hình phim detail,view,2026-05-27 18:41:56,4,iOS,4.0.0,iPhone 12,4G,Regular,"32,588"
SES000002,U11014,1021.006,Phim Detail,click đặt vé phim trên phim detail,click,2026-05-27 18:43:19,5,iOS,4.0.0,iPhone 12,4G,Regular,"27,015"
SES000002,U11014,1022.008,Chọn Suất Chiếu,Load màn hình chọn suất chiếu,view,2026-05-27 18:43:40,6,iOS,4.0.0,iPhone 12,4G,Regular,981
SES000002,U11014,1022.009,Chọn Suất Chiếu,Chọn rạp phim trên màn hình suất chiếu,click,2026-05-27 18:45:08,7,iOS,4.0.0,iPhone 12,4G,Regular,"37,749"
SES000002,U11014,1022.010,Chọn Suất Chiếu,chọn ngày trên màn hình suất chiếu,click,2026-05-27 18:46:11,8,iOS,4.0.0,iPhone 12,4G,Regular,"1,019"
SES000002,U11014,1022.011,Chọn Suất Chiếu,chọn suất chiếu trên màn hình suất chiếu,click,2026-05-27 18:46:34,9,iOS,4.0.0,iPhone 12,4G,Regular,"28,543"
