transaction_id,user_id,user_segment,purchase_datetime,showtime_datetime,day_type,movie,genre,cinema,ticket_type,num_tickets,unit_price,combo_revenue,total_revenue,payment_method,voucher_used,status
TXN000001,U14415,Regular,3/29/2026 16:19,4/3/2026 22:19,Weekday,Nha Ba Nu 2,Comedy,BHD Star Bitexco,IMAX,4,"165,000","49,000","709,000",vietQR,"30,000",Success
TXN000002,U85742,New,2/24/2026 14:47,2/27/2026 5:47,Weekday,Dune: Part Three,Sci-Fi,BHD Pham Hung,VIP,4,"150,000","49,000","649,000",wallet,0,Success
TXN000003,U10248,Regular,2/20/2026 21:17,2/27/2026 10:17,Weekday,Avengers: Secret Wars,Action,CGV Aeon Mall,Standard,2,"80,000",0,"160,000",bank,"20,000",Success
TXN000004,U11583,Regular,5/3/2026 6:01,5/5/2026 14:01,Weekday,La La Land 2,Romance,CGV Vincom,Standard,5,"75,000","129,000","504,000",vietQR,"20,000",Success
TXN000005,U34248,New,2/19/2026 3:43,2/25/2026 7:43,Weekday,Smile 3,Horror,Galaxy Sala,3D,4,"115,000","89,000","549,000",wallet,0,Success
TXN000006,U48144,Regular,2/3/2026 13:38,2/7/2026 19:38,Weekend,Dune: Part Three,Sci-Fi,BHD Star Bitexco,Standard,1,"75,000",0,"75,000",vietQR,0,Success
TXN000007,U53764,Regular,4/24/2026 21:31,4/29/2026 6:31,Weekday,La La Land 2,Romance,Lotte Cinema Q7,Standard,3,"75,000","129,000","354,000",wallet,"30,000",Success
TXN000008,U21214,New,2/13/2026 17:29,2/23/2026 15:29,Weekday,La La Land 2,Romance,BHD Pham Hung,3D,1,"120,000","89,000","209,000",vietQR,0,Success
TXN000009,U73724,Regular,4/7/2026 20:40,4/16/2026 13:40,Weekday,Fast X Final,Action,CGV Vincom,Standard,2,"75,000","189,000","339,000",wallet,0,Success
TXN000010,U56455,Regular,5/23/2026 22:02,5/24/2026 7:02,Weekend,Oppenheimer II,Drama,Lotte Cinema Q7,Couple,3,"265,000","49,000","844,000",vietQR,0,Refunded
TXN000011,U59156,Member,4/6/2026 11:51,4/8/2026 20:51,Weekday,Smile 3,Horror,Lotte Landmark,Standard,3,"85,000",0,"255,000",bank,0,Failed
TXN000012,U15059,New,1/26/2026 20:19,1/27/2026 5:19,Weekday,Inside Out 3,Animation,BHD Star Bitexco,Standard,2,"75,000","129,000","279,000",wallet,"50,000",Success
TXN000013,U48402,Member,5/12/2026 10:11,5/13/2026 5:11,Weekday,Smile 3,Horror,Lotte Landmark,Standard,4,"75,000","49,000","349,000",vietQR,"20,000",Success
TXN000014,U61537,VIP,4/2/2026 0:56,4/9/2026 23:56,Weekday,Nha Ba Nu 2,Comedy,BHD Pham Hung,Standard,1,"75,000","129,000","204,000",bank,0,Success
TXN000015,U69795,New,3/1/2026 10:57,3/5/2026 11:57,Weekday,Avengers: Secret Wars,Action,BHD Pham Hung,3D,3,"115,000","129,000","474,000",bank,0,Success
TXN000016,U25705,New,1/26/2026 12:23,1/26/2026 18:23,Weekday,The Conjuring 4,Horror,Lotte Cinema Q7,IMAX,1,"160,000","89,000","249,000",vietQR,0,Success
TXN000017,U14049,New,2/27/2026 9:42,3/6/2026 7:42,Weekday,Fast X Final,Action,BHD Star Bitexco,3D,4,"115,000","49,000","509,000",wallet,0,Success
TXN000018,U86717,Regular,4/14/2026 15:10,4/18/2026 14:10,Weekend,Dune: Part Three,Sci-Fi,Galaxy Sala,Standard,2,"80,000",0,"160,000",wallet,0,Success
TXN000019,U15955,Regular,5/27/2026 5:37,6/1/2026 12:37,Weekday,Gladiator III,Action,BHD Star Bitexco,Standard,2,"80,000","189,000","349,000",wallet,0,Success
TXN000020,U68228,Member,1/27/2026 15:26,1/30/2026 7:26,Weekday,Deadpool 4,Action,BHD Pham Hung,Standard,2,"75,000","49,000","199,000",wallet,0,Success
TXN000021,U69503,Regular,4/21/2026 10:33,4/28/2026 1:33,Weekday,Fast X Final,Action,Galaxy Sala,Standard,5,"80,000","189,000","589,000",wallet,0,Success
TXN000022,U69547,Regular,4/7/2026 7:10,4/17/2026 0:10,Weekday,Avengers: Secret Wars,Action,Lotte Landmark,Standard,3,"75,000","189,000","414,000",wallet,"20,000",Success
TXN000023,U94036,New,4/5/2026 21:29,4/11/2026 18:29,Weekend,Moana 2,Animation,Galaxy Sala,IMAX,3,"170,000","189,000","699,000",vietQR,0,Success
TXN000024,U47274,Regular,2/8/2026 1:16,2/8/2026 9:16,Weekend,Mai 2,Drama,CGV Vincom,3D,5,"110,000",0,"550,000",vietQR,0,Success
TXN000025,U32594,VIP,4/26/2026 2:56,5/5/2026 3:56,Weekday,The Conjuring 4,Horror,BHD Star Bitexco,Standard,2,"75,000","129,000","279,000",wallet,0,Success
TXN000026,U11532,Member,2/24/2026 23:52,3/2/2026 22:52,Weekday,Oppenheimer II,Drama,CGV Vincom,Standard,3,"75,000","129,000","354,000",wallet,0,Success
TXN000027,U21522,VIP,1/15/2026 19:12,1/25/2026 15:12,Weekend,Fast X Final,Action,BHD Pham Hung,3D,3,"110,000","49,000","379,000",wallet,0,Success
TXN000028,U97799,Regular,1/30/2026 12:23,2/7/2026 0:23,Weekend,Fast X Final,Action,Galaxy Sala,3D,4,"120,000",0,"480,000",wallet,0,Success
TXN000029,U89332,New,2/18/2026 15:36,2/22/2026 13:36,Weekend,Dune: Part Three,Sci-Fi,BHD Star Bitexco,VIP,2,"150,000",0,"300,000",vietQR,0,Success
TXN000030,U71093,Member,5/14/2026 5:20,5/18/2026 22:20,Weekday,Wicked 2,Musical,BHD Pham Hung,Standard,1,"80,000","89,000","169,000",wallet,0,Success
TXN000031,U42877,Regular,5/12/2026 6:26,5/15/2026 6:26,Weekday,Dune: Part Three,Sci-Fi,Galaxy Sala,Couple,6,"270,000","89,000","1,709,000",wallet,"20,000",Success
TXN000032,U14608,VIP,2/20/2026 17:53,2/23/2026 5:53,Weekday,Fast X Final,Action,BHD Pham Hung,Standard,2,"80,000","189,000","349,000",bank,"10,000",Success
TXN000033,U35732,VIP,3/27/2026 21:55,4/1/2026 4:55,Weekday,Joker 3,Crime,Galaxy Sala,Standard,1,"85,000",0,"85,000",wallet,0,Success
TXN000034,U23494,New,3/20/2026 21:37,3/29/2026 9:37,Weekend,Fast X Final,Action,BHD Star Bitexco,Standard,2,"75,000","49,000","199,000",wallet,"20,000",Success
TXN000035,U77800,Member,1/30/2026 0:03,2/7/2026 11:03,Weekend,Avengers: Secret Wars,Action,BHD Star Bitexco,Standard,5,"75,000","129,000","504,000",wallet,0,Success
TXN000036,U26503,Regular,3/24/2026 4:41,3/30/2026 15:41,Weekday,Joker 3,Crime,Lotte Cinema Q7,VIP,4,"150,000","129,000","729,000",bank,0,Success
TXN000037,U13445,New,3/23/2026 19:25,3/24/2026 2:25,Weekday,Wicked 2,Musical,CGV Vincom,Standard,3,"85,000",0,"255,000",bank,0,Success
TXN000038,U79645,Member,5/20/2026 17:36,5/29/2026 10:36,Weekday,Deadpool 4,Action,CGV Aeon Mall,Standard,5,"75,000",0,"375,000",bank,0,Success
TXN000039,U67393,Regular,4/9/2026 1:34,4/16/2026 15:34,Weekday,Oppenheimer II,Drama,Galaxy Sala,VIP,4,"150,000","129,000","729,000",bank,"10,000",Success
TXN000040,U96897,Member,2/23/2026 12:20,3/5/2026 0:20,Weekday,Mai 2,Drama,Lotte Cinema Q7,3D,1,"110,000","129,000","239,000",vietQR,"10,000",Success
TXN000041,U89535,Regular,4/28/2026 19:09,4/30/2026 6:09,Weekday,Wicked 2,Musical,Galaxy Sala,Standard,1,"85,000","89,000","174,000",wallet,0,Success
TXN000042,U65827,Member,4/24/2026 6:48,5/1/2026 19:48,Weekday,Deadpool 4,Action,Galaxy Nguyen Du,3D,2,"110,000","129,000","349,000",wallet,0,Success
TXN000043,U74466,VIP,3/14/2026 2:21,3/16/2026 22:21,Weekday,Inside Out 3,Animation,Galaxy Nguyen Du,3D,1,"110,000",0,"110,000",wallet,0,Success
TXN000044,U56281,Member,3/25/2026 13:20,3/28/2026 9:20,Weekend,Wicked 2,Musical,CGV Aeon Mall,VIP,2,"140,000","189,000","469,000",vietQR,0,Success
TXN000045,U43034,New,1/24/2026 22:41,2/3/2026 20:41,Weekday,The Conjuring 4,Horror,CGV Aeon Mall,IMAX,2,"170,000","89,000","429,000",wallet,0,Success
TXN000046,U83668,VIP,2/9/2026 23:36,2/15/2026 4:36,Weekend,Avengers: Secret Wars,Action,BHD Star Bitexco,3D,4,"110,000","129,000","569,000",bank,0,Failed
TXN000047,U60164,Regular,1/12/2026 20:27,1/13/2026 5:27,Weekday,Smile 3,Horror,CGV Vincom,Standard,1,"80,000",0,"80,000",vietQR,"50,000",Success
TXN000048,U98401,New,3/12/2026 5:59,3/20/2026 13:59,Weekday,La La Land 2,Romance,Lotte Cinema Q7,3D,2,"115,000","49,000","279,000",wallet,0,Success
TXN000049,U74117,Regular,2/5/2026 7:19,2/13/2026 18:19,Weekday,Mai 2,Drama,Galaxy Nguyen Du,3D,5,"120,000","189,000","789,000",bank,"10,000",Success
TXN000050,U45436,Regular,5/16/2026 20:42,5/24/2026 11:42,Weekend,Inside Out 3,Animation,Galaxy Sala,3D,2,"120,000","49,000","289,000",bank,0,Failed
TXN000051,U79420,Regular,3/14/2026 16:10,3/23/2026 10:10,Weekday,The Conjuring 4,Horror,CGV Aeon Mall,Standard,6,"75,000","49,000","499,000",vietQR,"10,000",Success
TXN000052,U39053,VIP,5/13/2026 19:05,5/15/2026 12:05,Weekday,Dune: Part Three,Sci-Fi,CGV Vincom,Standard,2,"75,000",0,"150,000",wallet,0,Success
TXN000053,U39915,Member,2/26/2026 16:03,3/4/2026 21:03,Weekday,Avengers: Secret Wars,Action,CGV Aeon Mall,Standard,1,"75,000",0,"75,000",bank,0,Success
TXN000054,U16358,New,5/1/2026 22:00,5/4/2026 0:00,Weekday,Wicked 2,Musical,CGV Vincom,Standard,1,"75,000",0,"75,000",bank,0,Success
TXN000055,U15064,Member,3/1/2026 21:23,3/8/2026 20:23,Weekend,La La Land 2,Romance,BHD Pham Hung,Standard,4,"85,000",0,"340,000",wallet,0,Success
